cell_type,marker
B_cells,ECE1
B_cells,DERL3
B_cells,AFF3
B_cells,PSENEN
B_cells,KIZ
B_cells,CD79A
B_cells,CD79B
B_cells,MACROD2
B_cells,UHRF1
B_cells,VPREB3
B_cells,SNX29
B_cells,NME7
B_cells,ACBD3
B_cells,DDC
B_cells,IFT57
B_cells,PAX5
B_cells,C6orf48
B_cells,CD52
B_cells,GLRA3
B_cells,ANK2
B_cells,HLA-DMA
B_cells,PRCD
B_cells,RUNDC1
B_cells,ERO1B
B_cells,AIDA
B_cells,HLA-DPB1
B_cells,AP1S3
B_cells,LTB
B_cells,GPM6A
B_cells,MS4A1
B_cells,SYPL1
B_cells,HLA-E
B_cells,LYN
B_cells,IGKV3D-20
B_cells,IGKV4-1
B_cells,CD27
B_cells,CD83
B_cells,GUCD1
B_cells,TCF4
B_cells,SLC2A11
B_cells,TRAF5
B_cells,MAN1A1
B_cells,PRELID3B
B_cells,CDK14
B_cells,CHTF8
B_cells,PRMT1
B_cells,TXNDC11
B_cells,PPM1K
B_cells,GEMIN8
B_cells,OSBPL10
B_cells,OSBPL10
B_cells,IGLL5
B_cells,MEF2A
B_cells,SPIB
B_cells,DGKD
B_cells,WFDC2
B_cells,AIM2
B_cells,LY86
B_cells,BMP2K
B_cells,COBLL1
B_cells,RHBDD1
B_cells,TNFRSF13C
B_cells,TLE1
B_cells,CERS4
B_cells,RIC3
B_cells,FCMR
B_cells,SEC62
B_cells,ZNF860
B_cells,NR3C2
B_cells,PLEKHG1
B_cells,CD37
B_cells,PKHD1L1
B_cells,BEND5
B_cells,CTD-3184A7.4
B_cells,RASSF6
B_cells,IGHA2
B_cells,SMC6
B_cells,SMC6
B_cells,IGHG2
B_cells,IGHG3
B_cells,CD40
B_cells,ITSN2
B_cells,FAM27C
B_cells,FBXO3
B_cells,SLC37A4
B_cells,IGLC2
B_cells,POU2AF1
B_cells,IGLC3
B_cells,POU2AF1
B_cells,TEFM
B_cells,SGOL1
B_cells,YPEL3
B_cells,IL2RA
B_cells,CTSH
B_cells,HRK
B_cells,GPR160
B_cells,LARP6
B_cells,RABEP2
B_cells,ALG14
B_cells,DAPP1
B_cells,KLHL5
B_cells,SCIMP
B_cells,GH1
B_cells,SHMT2
B_cells,MRPS2
B_cells,GPC3
B_cells,INTU
B_cells,DAXX
B_cells,SPINT2
B_cells,NAP1L1
B_cells,HSH2D
B_cells,TMEM154
B_cells,ZBED5
B_cells,METTL17
B_cells,CAPG
B_cells,GNB5
B_cells,SCPEP1
B_cells,GRAP
B_cells,DLAT
B_cells,CBWD5
B_cells,WDR4
B_cells,CCR10
B_cells,CYSLTR1
B_cells,CD180
B_cells,NFKBIE
B_cells,PLEKHG7
B_cells,DPAGT1
B_cells,ORAI2
B_cells,TRIP11
B_cells,CDHR5
B_cells,ACAD10
B_cells,NT5E
B_cells,QPRT
B_cells,USP8
B_cells,TNFRSF13B
B_cells,TNFRSF13B
B_cells,PRDM2
B_cells,ANKRD44
B_cells,EEF1G
B_cells,CKAP4
B_cells,ORC4
B_cells,STEAP1B
B_cells,EHHADH
B_cells,CHMP7
B_cells,P2RX5
B_cells,BANK1
B_cells,TIMD4
B_cells,TXNDC5
B_cells,CXCR4
B_cells,DHX29
B_cells,ZCCHC7
B_cells,SHPRH
B_cells,IFRD2
B_cells,ZNF581
B_cells,GMPPB
B_cells,GLTSCR2
B_cells,GLTSCR2
B_cells,TIFA
B_cells,RNF170
B_cells,DMTN
B_cells,PCDH9
B_cells,PKHD1L1
B_cells,SSPN
B_cells,HYI
B_cells,QTRT1
B_cells,FCRL5
B_cells,LTB
B_cells,GABPB1-AS1
B_cells,HLA-DRB1
B_cells,SYPL1
B_cells,ARHGAP24
B_cells,BIRC3
B_cells,NEK8
B_cells,KCNK5
B_cells,CCDC191
B_cells,LAGE3
B_cells,TP53INP1
B_cells,RASGRP2
B_cells,SPATS2
B_cells,TNFAIP8
B_cells,PIP5K1B
B_cells,TTC14
B_cells,STX7
B_cells,TCF19
B_cells,EMC9
B_cells,TCOF1
B_cells,CCR7
B_cells,ABCB4
B_cells,FCER2
B_cells,FCER2
